aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments,lat,lon
1,1,"ΚΕΠ ΕΝΙΑΙΑΣ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΘΗΝΑΣ - ΠΕΙΡΑΙΑ","ΣΥΝΤΑΓΜΑ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","ΑΜΑΛΙΑΣ 2 & ΟΘΩΝΟΣ 10",10557,"2103214640 2103214462",2103214448,"p.attikis@kep.gov.gr","",23.73542062800044,37.97482721600045
2,2,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ (ΠΑΡΑΡΤΗΜΑ)","ΘΕΣΣΑΛΟΝΙΚΗ","ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","ΑΡΙΣΤΟΤΕΛΟΥΣ 19",54624,"2310375027 2310375028 2310375030 2310375026",2310253262,"n.thessalonikis-parartima@kep.gov.gr","",22.94067436400047,40.63469668300047
3,3,"ΚΕΠ ΔΗΜΟΥ ΠΕΙΡΑΙΑ Ν. ΑΤΤΙΚΗΣ","ΠΕΙΡΑΙΣΑ Ν. ΑΤΤΙΚΗΣ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΠΕΙΡΑΙΩΣ","ΑΤΤΙΚΗΣ","ΑΚΤΗ ΠΟΣΕΙΔΩΝΟΣ 2",18531,2104146000,2104102479,"d.peiraios@kep.gov.gr","",23.64538106300046,37.94610404600047
4,4,"ΚΕΠ ΔΗΜΟΥ ΠΕΡΙΣΤΕΡΙΟΥ Ν. ΑΤΤΙΚΗΣ","Περιστέρι Αθήνα","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΔΥΤΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Εθνάρχου Μακαρίου 44",12132,2105786962,2105759676,"d.peristeriou@kep.gov.gr","",23.70463699500044,38.00929282800047
5,5,"ΚΕΠ ΔΗΜΟΥ ΑΜΑΡΟΥΣΙΟΥ Ν. ΑΤΤΙΚΗΣ","Μαρούσι Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΑΝΑΤΟΛΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Β. Σοφίας 9",15124,2108760090,2106146907,"d.amarousiou@kep.gov.gr","",23.79630499300043,38.04436020100047
6,6,"ΚΕΠ ΔΗΜΟΥ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ Ν. ΗΡΑΚΛΕΙΟΥ","ΗΡΑΚΛΕΙΟ ΚΡΗΤΗΣ","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","ΑΝΔΡΟΓΕΩ 2",71202,2810276700,2810332707,"d.irakleiou-kritis@kep.gov.gr","",25.13076180500048,35.33971300700046
7,7,"ΚΕΠ ΔΗΜΟΥ ΧΕΡΣΟΝΗΣΟΥ Ν. ΗΡΑΚΛΕΙΟΥ","ΧΕΡΣΟΝΗΣΟΣ","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","ΕΛΕΥΘΕΡΙΑΣ 21",70014,2897028700,2897028701,"d.hersonissou@kep.gov.gr","",25.34242618200045,35.30048358400046
8,8,"ΚΕΠ ΔΗΜΟΥ ΡΕΘΥΜΝΗΣ Ν. ΡΕΘΥΜΝΗΣ","Ρέθυμνο Κρήτης","ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ","ΚΡΗΤΗΣ","Λεωφόρος Κουντουριώτου 98",74100,"2831341500 2831341501 2831341502 2831341503 2831341504 2831341505 2831341506 2831341508",2831341507,"d.rethimnis@kep.gov.gr","",24.47009347500045,35.36628036500048
9,9,"ΚΕΠ ΔΗΜΟΥ ΧΑΝΙΩΝ Ν. ΧΑΝΙΩΝ","ΧΑΝΙΑ","ΝΟΜΟΣ ΧΑΝΙΩΝ","ΚΡΗΤΗΣ","ΚΥΔΩΝΙΑΣ 29",73135,2821341800,2821341820,"d.hanion@kep.gov.gr","",24.01861408600047,35.51347451200047
10,10,"ΚΕΠ ΔΗΜΟΥ ΑΓ ΝΙΚΟΛΑΟΥ Ν. ΛΑΣΙΘΙΟΥ","ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ","ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ","ΚΡΗΤΗΣ","ΡΟΥΣΣΟΥ ΚΑΠΕΤΑΝΑΚΗ & ΚΟΝΤΟΓΙΑΝΝΑΚΗ",72100,2841089590,2841089595,"d.agnikolaou@kep.gov.gr","",25.71357657600044,35.18812634900047
